11.667,11.667,11.667,11.667,11.667,11.667,11.667,11.667,11.667,11.667,11.667,11.667,11.667,11.667,11.667,11.667,11.667,11.667,11.667,11.667,11.667,11.667,11.667,11.667
9.3516,9.3516,9.3516,9.3516,9.3516,9.3516,9.3516,9.3516,9.3516,9.3516,9.3516,9.3516,9.3516,9.3516,9.3516,9.3516,9.3516,9.3516,9.3516,9.3516,9.3516,9.3516,9.3516,9.3516
3.3252,3.3252,3.3252,3.3252,3.3252,3.3252,3.3252,3.3252,3.3252,3.3252,3.3252,3.3252,3.3252,3.3252,3.3252,3.3252,3.3252,3.3252,3.3252,3.3252,3.3252,3.3252,3.3252,3.3252
4.0208,4.0208,4.0208,4.0208,4.0208,4.0208,4.0208,4.0208,4.0208,4.0208,4.0208,4.0208,4.0208,4.0208,4.0208,4.0208,4.0208,4.0208,4.0208,4.0208,4.0208,4.0208,4.0208,4.0208
9.7712,9.7712,9.7712,9.7712,9.7712,9.7712,9.7712,9.7712,9.7712,9.7712,9.7712,9.7712,9.7712,9.7712,9.7712,9.7712,9.7712,9.7712,9.7712,9.7712,9.7712,9.7712,9.7712,9.7712
11.644,11.644,11.644,11.644,11.644,11.644,11.644,11.644,11.644,11.644,11.644,11.644,11.644,11.644,11.644,11.644,11.644,11.644,11.644,11.644,11.644,11.644,11.644,11.644
8.8952,8.8952,8.8952,8.8952,8.8952,8.8952,8.8952,8.8952,8.8952,8.8952,8.8952,8.8952,8.8952,8.8952,8.8952,8.8952,8.8952,8.8952,8.8952,8.8952,8.8952,8.8952,8.8952,8.8952
2.6165,2.6165,2.6165,2.6165,2.6165,2.6165,2.6165,2.6165,2.6165,2.6165,2.6165,2.6165,2.6165,2.6165,2.6165,2.6165,2.6165,2.6165,2.6165,2.6165,2.6165,2.6165,2.6165,2.6165
4.7006,4.7006,4.7006,4.7006,4.7006,4.7006,4.7006,4.7006,4.7006,4.7006,4.7006,4.7006,4.7006,4.7006,4.7006,4.7006,4.7006,4.7006,4.7006,4.7006,4.7006,4.7006,4.7006,4.7006
10.152,10.152,10.152,10.152,10.152,10.152,10.152,10.152,10.152,10.152,10.152,10.152,10.152,10.152,10.152,10.152,10.152,10.152,10.152,10.152,10.152,10.152,10.152,10.152
11.575,11.575,11.575,11.575,11.575,11.575,11.575,11.575,11.575,11.575,11.575,11.575,11.575,11.575,11.575,11.575,11.575,11.575,11.575,11.575,11.575,11.575,11.575,11.575
8.4036,8.4036,8.4036,8.4036,8.4036,8.4036,8.4036,8.4036,8.4036,8.4036,8.4036,8.4036,8.4036,8.4036,8.4036,8.4036,8.4036,8.4036,8.4036,8.4036,8.4036,8.4036,8.4036,8.4036
1.8974,1.8974,1.8974,1.8974,1.8974,1.8974,1.8974,1.8974,1.8974,1.8974,1.8974,1.8974,1.8974,1.8974,1.8974,1.8974,1.8974,1.8974,1.8974,1.8974,1.8974,1.8974,1.8974,1.8974
